dir,session,video,color type,color pair,tracked,error,lever,mag,event id,fiber pho,coop thresh,animal id,cohort,visual,vehicle,familiar,useable
PairedTestingSessions,042224_KL008_TimeOut,042224_Cam1_TrNum5_Coop_KL008B-KL008G,dyed,GB,False,,True,True,False,False,1.0,KL008B-KL008G,KL,transparent,,familiar,unuseable
PairedTestingSessions,050824_EB001R-031B-027Y_TimeOut_CNO,050824_Cam2_TrNum9_Coop_EB001R-EB031B,dyed,RB,True,0.0909999528546508,True,True,True,False,1.0,EB001R-EB031B,EB,transparent,CNO,familiar,normal
PairedTestingSessions,050824_EB001R-031B-027Y_TimeOut_CNO,050824_Cam2_TrNum11_Coop_EB001R-EB027Y,dyed,RY,True,0.161914011538573,True,True,True,False,1.0,EB001R-EB027Y,EB,transparent,CNO,familiar,normal
PairedTestingSessions,050324_KL001_TimeOut_Translucent,050324_Cam4_TrNum12_Coop_KL001B-KL001Y,dyed,YB,True,0.419153377592225,False,False,False,False,,KL001B-KL001Y,KL,translucent,,familiar,unuseable
PairedTestingSessions,050324_KL001_TimeOut_Translucent,050324_Cam4_TrNum5_Coop_KL001B-KL001Y,dyed,YB,True,0.3723703344643723,False,False,False,False,,KL001B-KL001Y,KL,translucent,,familiar,unuseable
PairedTestingSessions,091924_FiberPho_KL003B-KL004_TimeOut,091924_Cam1_TrNum14_Coop_KL003B-KL003G,dyed,GB,False,,True,True,False,True,1.0,KL003B-KL003G,KL,transparent,,familiar,unuseable
PairedTestingSessions,091924_FiberPho_KL003B-KL004_TimeOut,091924_Cam1_TrNum8_Coop_KL003B-KL001Y,dyed,YB,True,0.1619999027757522,True,True,True,True,1.0,KL003B-KL001Y,KL,transparent,,unfamiliar,control
PairedTestingSessions,091924_FiberPho_KL003B-KL004_TimeOut,091924_Cam1_TrNum10_Coop_KL003B-KL004G,dyed,GB,False,,True,True,False,True,1.0,KL003B-KL004G,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,100124_FiberPho_KL008G_KL002_2X_TimeOut,100124_Cam1_TrNum13_Coop_KL008G-KL002Y,dyed,GY,True,0.2304018237249031,True,True,True,True,1.0,KL008G-KL002Y,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,100124_FiberPho_KL008G_KL002_2X_TimeOut,100124_Cam1_TrNum11_Coop_KL008G-KL008B,dyed,GB,False,,True,True,False,True,1.0,KL008G-KL008B,KL,transparent,,familiar,unuseable
PairedTestingSessions,100124_FiberPho_KL008G_KL002_2X_TimeOut,100124_Cam1_TrNum15_Coop_KL008G-KL006R,dyed,RG,True,0.3223783584642509,True,True,True,True,1.0,KL008G-KL006R,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,021925_PairedTesting_TimeOut_DREADD_KL011-KM013R_SAL-DCZ,021925_Cam1_TrNum9_Coop_KM011B-KM013R_SAL-SAL,collar,RB,False,,False,False,False,False,,KM011B-KM013R,KM,transparent,,unsure,unuseable
PairedTestingSessions,021925_PairedTesting_TimeOut_DREADD_KL011-KM013R_SAL-DCZ,021925_Cam1_TrNum6_Coop_KM011Y-KM013R_DCZ-SAL,collar,RY,False,,False,False,False,False,,KM011Y-KM013R,KM,transparent,,unsure,unuseable
PairedTestingSessions,021925_PairedTesting_TimeOut_DREADD_KL011-KM013R_SAL-DCZ,021925_Cam1_TrNum5_Coop_KM011B-KM011Y_SAL-DCZ,collar,YB,True,0.3908461677840188,False,False,False,False,,KM011B-KM011Y,KM,transparent,,unsure,unuseable
PairedTestingSessions,052824_EB005Y-007R-017B_TimeOut_VEH,052824_Cam1_TrNum10_Coop_EB005Y-EB007R,dyed,RY,True,0.1557439318139707,True,True,True,False,1.0,EB005Y-EB007R,EB,transparent,VEH,familiar,control
PairedTestingSessions,052824_EB005Y-007R-017B_TimeOut_VEH,052824_Cam1_TrNum12_Coop_EB005Y-EB017B,dyed,YB,True,0.0675907883082373,True,True,True,False,1.0,EB005Y-EB017B,EB,transparent,VEH,familiar,control
PairedTestingSessions,040925_PairedTesting_TimeOut_DREADD_KM016B-CNO_KM016Y-SAL_KM009R-SAL,040925_Cam1_TrNum4_Coop_KM016B-KM016Y_CNO-SAL,collar,YB,True,0.4268820481560499,False,False,False,False,,KM016B-KM016Y,KM,transparent,,unsure,unuseable
PairedTestingSessions,040925_PairedTesting_TimeOut_DREADD_KM016B-CNO_KM016Y-SAL_KM009R-SAL,040925_Cam1_TrNum5_Coop_KM016B-KM009R_CNO-SAL,collar,RB,False,,False,False,False,False,,KM016B-KM009R,KM,transparent,,unsure,unuseable
PairedTestingSessions,022025_PairedTesting_TimeOut_DREADD_KL010-KM015R_DCZ-SAL,022025_Cam1_TrNum4_Coop_KM010B-KM010Y_DCZ-SAL,collar,YB,True,0.4248093799453316,False,False,False,False,,KM010B-KM010Y,KM,transparent,,unsure,unuseable
PairedTestingSessions,022025_PairedTesting_TimeOut_DREADD_KL010-KM015R_DCZ-SAL,022025_Cam1_TrNum9_Coop_KM010B-KM015R_DCZ-SAL,collar,RB,False,,False,False,False,False,,KM010B-KM015R,KM,transparent,,unsure,unuseable
PairedTestingSessions,022025_PairedTesting_TimeOut_DREADD_KL010-KM015R_DCZ-SAL,022025_Cam1_TrNum8_Coop_KM010Y-KM015R_SAL-SAL,collar,RY,False,,False,False,False,False,,KM010Y-KM015R,KM,transparent,,unsure,unuseable
PairedTestingSessions,052324_EB007R-005Y-033Y_TimeOut_VEH,052324_Cam3_TrNum10_Coop_EB007R-EB005Y,dyed,RY,True,0.1897138324127394,True,True,True,False,1.0,EB007R-EB005Y,EB,transparent,VEH,familiar,control
PairedTestingSessions,052324_EB007R-005Y-033Y_TimeOut_VEH,052324_Cam3_TrNum12_Coop_EB007R-EB033Y,dyed,RY,True,0.163063622855599,True,True,True,False,1.0,EB007R-EB033Y,EB,transparent,VEH,familiar,control
PairedTestingSessions,052124_EB029R-027Y-033Y_TimeOut_CNO,052124_Cam2_TrNum12_Coop_EB029R-EB027Y,dyed,RY,True,0.2219031356721515,True,True,True,False,1.0,EB029R-EB027Y,EB,transparent,CNO,familiar,unuseable
PairedTestingSessions,052124_EB029R-027Y-033Y_TimeOut_CNO,052124_Cam2_TrNum7_Coop_EB029R-EB033Y,dyed,RY,True,0.2392140552530752,True,True,True,False,1.0,EB029R-EB033Y,EB,transparent,CNO,familiar,unuseable
PairedTestingSessions,042624_KL002_TimeOut,042624_Cam3_TrNum5_Coop_KL002B-KL002Y,dyed,YB,True,0.0245639373402955,True,True,True,False,1.0,KL002B-KL002Y,KL,transparent,,familiar,normal
PairedTestingSessions,042624_KL002_TimeOut,042624_Cam3_TrNum7_Coop_KL002B-KL002Y,dyed,YB,True,0.0201241236639466,True,True,True,False,1.0,KL002B-KL002Y,KL,transparent,,familiar,normal
PairedTestingSessions,021825_PairedTesting_TimeOut_DREADD_KL011-KL013G_SAL-SAL,021825_Cam1_TrNum8_Coop_KL011Y-KL013G_SAL-SAL,collar,GY,False,,False,False,False,False,,KL011Y-KL013G,KL,transparent,SAL,unfamiliar,unuseable
PairedTestingSessions,021825_PairedTesting_TimeOut_DREADD_KL011-KL013G_SAL-SAL,021825_Cam1_TrNum6_Coop_KL011B-KL013G_SAL-SAL,collar,GB,False,,False,False,False,False,,KL011B-KL013G,KL,transparent,SAL,unfamiliar,unuseable
PairedTestingSessions,021825_PairedTesting_TimeOut_DREADD_KL011-KL013G_SAL-SAL,021825_Cam1_TrNum9_Coop_KL011B-KL011Y_SAL-SAL,collar,YB,True,0.4142531701158258,False,False,False,False,,KL011B-KL011Y,KL,transparent,SAL,familiar,unuseable
PairedTestingSessions,050324_KL003_TimeOut_Opaque,050324_Cam3_TrNum7_Coop_KL003G-KL003B,dyed,GB,False,,True,True,False,False,1.0,KL003G-KL003B,KL,opaque,,familiar,unuseable
PairedTestingSessions,050324_KL003_TimeOut_Opaque,050324_Cam3_TrNum12_Coop_KL003G-KL003B,dyed,GB,False,,True,True,False,False,1.0,KL003G-KL003B,KL,opaque,,familiar,unuseable
