vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,initial nan no tail,vel nan no tail
100124_Cam2_TrNum15_Coop_KL004G-KL005B,100124_FiberPho_KL004G-KL001_2X_TimeOut,multi,test,True,GB,0.7207279230000526,0.7282543522852785,False,-1,False,False,coop,UF,True,0.6582437016777994,0.6676057171409036
100124_Cam2_TrNum9_Coop_KL004G-KL001Y,100124_FiberPho_KL004G-KL001_2X_TimeOut,multi,test,True,GY,0.7652363061103421,0.7837888075934348,False,-1,True,True,coop,UF,True,0.7095610045481511,0.7327368004745897
100124_Cam1_TrNum13_Coop_KL008G-KL002Y,100124_FiberPho_KL008G_KL002_2X_TimeOut,multi,test,True,GY,0.7494740311461452,0.7546952676536022,False,-1,True,True,coop,UF,True,0.7013135488478124,0.7076855997143563
100124_Cam1_TrNum11_Coop_KL008G-KL008B,100124_FiberPho_KL008G_KL002_2X_TimeOut,multi,test,True,GB,0.8567452927788123,0.858553176081109,False,-1,True,True,coop,TP,True,0.8302684667908131,0.8324959911028347
100124_Cam1_TrNum15_Coop_KL008G-KL006R,100124_FiberPho_KL008G_KL002_2X_TimeOut,multi,test,True,RG,0.7005420767328036,0.7023130361559918,False,-1,True,True,coop,UF,True,0.6367066207041735,0.6388676911741488
100224_Cam2_TrNum12_Coop_KL002Y-KL002B,100224_FiberPho_KL002Y-KL003_TimeOut,multi,test,True,YB,0.67239343812204,0.6984075777335438,False,-1,True,True,coop,TP,True,0.5965834992106528,0.6290668542796348
100224_Cam2_TrNum10_Coop_KL002Y-KL003B,100224_FiberPho_KL002Y-KL003_TimeOut,multi,test,True,YB,0.6402383612662942,0.6561191806331471,False,-1,True,True,coop,UF,True,0.5556424581005587,0.5754655493482309
100224_Cam2_TrNum8_Coop_KL002Y-KL006R,100224_FiberPho_KL002Y-KL003_TimeOut,multi,test,True,RY,0.6786243869054409,0.696129424736702,False,-1,True,True,coop,UF,True,0.6059750579825862,0.6277660545226417
100224_Cam1_TrNum12_Coop_KL006G-KL006R,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,True,RG,0.6535210330138446,0.6832800851970181,False,-1,True,True,coop,TP,True,0.577076677316294,0.6142338924387647
100224_Cam1_TrNum14_Coop_KL006G-KL005B,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,True,GB,0.6908192426768278,0.7113598475827578,False,-1,True,True,coop,UF,True,0.6200980392156863,0.6457589108517902
100224_Cam1_TrNum8_Coop_KL006G-KL008B,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,True,GB,0.7376580373269115,0.7471129111707077,False,-1,False,False,coop,UF,True,0.6777235783482021,0.6895113841606918
100324_Cam1_TrNum5_Coop_KL002B-KL002Y,100324_FiberPho_KL002B_TimeOut_Opaque,multi,test,True,YB,0.644083439280501,0.6689409991995103,False,-1,True,True,coop,TP,True,0.5623911098554409,0.5933806564015633
100324_Cam2_TrNum5_Coop_KL003B-KL003G,100324_FiberPho_KL003B_TimeOut_Opaque,multi,test,True,GB,0.6518698742482231,0.681372334609076,False,-1,True,True,coop,TP,True,0.5702296336796063,0.6070393657736468
100324_Cam1_TrNum6_Coop_KL005Y-KL005B,100324_FiberPho_KL005Y_TimeOut_Opaque,multi,test,True,YB,0.7831184158762076,0.7972024303886,False,-1,True,True,coop,TP,True,0.7329523101805306,0.750513616295843
100324_Cam2_TrNum6_Coop_KL006G-KL006R,100324_FiberPho_KL006G_TimeOut_Opaque,multi,test,True,RG,0.7223247014307674,0.7512061014544165,False,-1,True,True,coop,TP,True,0.6575026605179142,0.6935748492373182
101724_Cam2_TrNum5_Coop_HF004Y-HF001R,101724_FiberPho_HF004Y_HF001R_TimeOut,multi,test,True,RY,0.6571242405888075,0.6694510214195254,False,-1,True,True,coop,UF,True,0.5865614044747903,0.6018918745296699
101724_Cam2_TrNum6_Coop_HF004Y-HF003B,101724_FiberPho_HF004Y_HF001R_TimeOut,multi,test,True,YB,0.5470034325152812,0.5739661153839094,False,-1,True,True,coop,TP,True,0.4450155105637034,0.47865232474898584
101724_Cam2_TrNum4_Coop_HF004Y-HF003B,101724_FiberPho_HF004Y_HF001R_TimeOut,multi,test,True,YB,0.5700315689009617,0.6000825930548418,False,-1,True,True,coop,TP,True,0.47017473019602085,0.5076903311063798
101724_Cam1_TrNum7_Coop_HF008Y-HF006G,101724_FiberPho_HF008Y_HF002G_TimeOut,multi,test,True,GY,0.5979113470617411,0.6119587780369969,False,-1,True,False,coop,TP,True,0.5085213182210628,0.5259267593732204
101724_Cam1_TrNum6_Coop_HF008Y-HF002G,101724_FiberPho_HF008Y_HF002G_TimeOut,multi,test,True,GY,0.6916023804275954,0.7059473954889428,False,-1,True,True,coop,UF,True,0.6265979722283447,0.6443800051428992
101724_Cam1_TrNum4_Coop_HF008Y-HF006G,101724_FiberPho_HF008Y_HF002G_TimeOut,multi,test,True,GY,0.5538769586861877,0.5770193067215313,False,-1,True,False,coop,TP,True,0.46246808237044656,0.4910906185131436
101824_Cam2_TrNum5_Coop_KL006G-HF001R,101824_FiberPho_HF006G_HF001R_TimeOut,multi,test,True,RG,0.6282680276588739,0.6396910328174734,False,-1,True,True,coop,UF,True,0.5544293985292503,0.5684269015475798
101824_Cam2_TrNum4_Coop_KL006G-KL008Y,101824_FiberPho_HF006G_HF001R_TimeOut,multi,test,True,GY,0.5173553945779826,0.541680386346175,False,-1,True,True,coop,TP,True,0.42045672813083085,0.45045137745582264
101824_Cam2_TrNum7_Coop_KL006G-KL008Y,101824_FiberPho_HF006G_HF001R_TimeOut,multi,test,True,GY,0.5339975845410628,0.5581466842336408,False,-1,False,False,coop,TP,True,0.4394110946420729,0.46926465744400525
102124_Cam1_TrNum5_Coop_HF004Y-HF003B,102124_FiberPho_HF004Y_HF006G_TimeOut,multi,test,True,YB,0.5402799086928862,0.5856004191146204,False,-1,True,True,coop,TP,True,0.43640309845451486,0.4928479212663249
102124_Cam1_TrNum7_Coop_HF004Y-HF003B,102124_FiberPho_HF004Y_HF006G_TimeOut,multi,test,True,YB,0.5267449517120281,0.5659761852502195,False,-1,True,True,coop,TP,True,0.4195360513608428,0.46840361611062337
102124_Cam1_TrNum6_Coop_HF004Y-HF006G,102124_FiberPho_HF004Y_HF006G_TimeOut,multi,test,True,GY,0.5589428328347559,0.5904135905810028,False,-1,True,True,coop,UF,True,0.4696530998710102,0.5085730164393336
102124_Cam2_TrNum4_Coop_HF008Y-HF006G,102124_FiberPho_HF008Y_HF001R_TimeOut,multi,test,True,GY,0.5415804353196279,0.5754865094831608,False,-1,True,True,coop,TP,True,0.4543991710811627,0.49630486097768506
102124_Cam2_TrNum7_Coop_HF008Y-HF006G,102124_FiberPho_HF008Y_HF001R_TimeOut,multi,test,True,GY,0.5163608940079528,0.5538105032222679,False,-1,True,True,coop,TP,True,0.4162244618126971,0.46259426847662144
102124_Cam2_TrNum6_Coop_HF008Y-HF001R,102124_FiberPho_HF008Y_HF001R_TimeOut,multi,test,True,RY,0.663932987853363,0.6781196018754627,False,-1,True,True,coop,UF,True,0.5979511118422857,0.6153724877299772
102224_Cam2_TrNum4_Coop_HF003B-HF004Y,102224_FiberPho_HF003B_HF001R_TimeOut,multi,test,True,YB,0.5532030862886671,0.5924966376442273,False,-1,True,True,coop,TP,True,0.4506264599702697,0.4995885538330856
