animal id,first date,last date,first center,last center,first nose,first head,last nose,last head
NM001G,102524,020325,7.35,99.86,0.6894802847552653,0.5434694404485264,0.0008254120403653114,0.0
KL004B,032224,032724,99.22,8.82,0.004017800381436745,0.0008900190718372536,0.18175974590690816,0.2545090180360721
NF020Y,102824,020425,6.37,99.86,0.6462707513895813,0.578352076523923,0.0010476689366160294,0.004930876625595008
NF017G,102824,020425,99.69,99.92,0.0014835564811146024,0.0003501561880891608,0.00018523235083007248,0.0
HF012B,061024,062424,99.92,99.87,0.0004142348402413691,0.0,0.0006224100371808101,8.189605752379081e-06
EB033B,032724,040124,6.03,99.74,0.6250971610467484,0.48176148351038234,0.0010310040962763646,0.0
EB015R,032724,040424,8.51,99.78,0.5524319129076677,0.3665474507194544,0.00044923195826490197,0.0
KL003B,032224,032524,4.21,5.32,0.39130193290379917,0.47680145152928977,0.6719462978360948,0.6292360421018476
HF006G,051624,062424,99.83,99.86,0.000490570589891029,5.6294985725200046e-05,0.0009358300858070291,0.002558839751530331
EB010G,032524,043024,99.69,45.91,0.0017862762156859115,3.702126871887899e-05,0.0,0.0
EB032,032724,040124,99.75,99.62,0.001155844876370832,0.0007027536848334658,0.0,0.0
EB031B,040324,041724,99.92,99.87,0.0,0.0,0.00040740910760190966,0.0
HF002G,051624,062424,99.84,88.98,0.0004791894852135816,4.832162876103344e-05,9.488180438082845e-05,0.0
KL004R,032224,032724,0.98,4.76,0.8425205024395308,0.8608948406519257,0.1921203250611674,0.5246308109052779
HF011R,061024,062424,99.94,99.87,0.00034149995593548956,0.00026438706265973383,0.0003304572985794863,0.0006926022833241289
KL008Y,032224,032824,99.92,99.89,0.0002898886827458256,0.0008551716141001856,8.539126276599379e-05,0.0014345732144686956
EB007,032724,032724,8.81,8.81,0.36171546805442345,0.3857734027211737,0.36171546805442345,0.3857734027211737
NF018Y,102824,020425,99.31,99.73,0.0043902888469157415,0.0030220666144561664,0.0017726387987765317,0.000996385207155436
KM013G,010925,011725,99.77,99.97,0.0007668300425778359,0.0,0.0001272718016596243,1.696957355461657e-05
